"pkg","res"
"1","accelerometry",0
"2","AdaptiveSparsity",0
"3","ADMMnet",0
"4","AHR",0
"5","algstat",0
"6","ALKr",0
"7","Amelia",0
"8","apcluster",0
"9","ASPBay",0
"10","autovarCore",0
"11","BaBooN",0
"12","BacArena",0
"13","BalancedSampling",0
"14","batman",0
"15","BayesComm",0
"16","BayesFactor",0
"17","bayesm",0
"18","bayou",0
"19","bcp",0
"20","bcpa",0
"21","BEDMatrix",0
"22","bfa",0
"23","bfp",0
"24","bifactorial",0
"25","BIFIEsurvey",0
"26","bigmemory",0
"27","bigtabulate",0
"28","Biocomb",0
"29","BIPOD",0
"30","blockcluster",0
"31","blockmodels",0
"32","btf",0
"33","BTLLasso",0
"34","bvarsv",0
"35","bWGR",0
"36","CARBayes",0
"37","CARBayesST",0
"38","ccaPP",0
"39","cccp",0
"40","cda",1
"41","CDM",0
"42","CFC",0
"43","cgAUC",0
"44","ChannelAttribution",0
"45","chopthin",0
"46","CIDnetworks",0
"47","cIRT",0
"48","cladoRcpp",0
"49","classify",0
"50","clere",0
"51","climdex.pcic",0
"52","clogitboost",0
"53","clogitL1",0
"54","ClusterStability",0
"55","clusteval",0
"56","ClustMMDD",0
"57","ClustVarLV",0
"58","CMF",0
"59","coala",0
"60","CompGLM",0
"61","ConConPiWiFun",0
"62","coneproj",0
"63","contoureR",0
"64","copCAR",0
"65","cord",0
"66","CorReg",0
"67","Coxnet",0
"68","CoxPlus",0
"69","cpgen",0
"70","creditr",0
"71","Crossover",0
"72","cycleRtools",0
"73","D3M",0
"74","datafsm",0
"75","dbmss",0
"76","dbscan",0
"77","ddalpha",0
"78","ddR",0
"79","Delaporte",0
"80","dendextendRcpp",0
"81","DepthProc",0
"82","DescTools",0
"83","DetMCD",0
"84","dfcomb",0
"85","dfmta",0
"86","DiffusionRgqd",0
"87","dils",0
"88","dina",0
"89","disclapmix",0
"90","diversitree",0
"91","diveRsity",0
"92","divo",0
"93","DNAprofiles",0
"94","DNAtools",0
"95","dplyr",0
"96","dslice",0
"97","DStree",0
"98","ecp",0
"99","EditImputeCont",0
"100","eemR",0
"101","eive",0
"102","EloChoice",0
"103","emil",0
"104","emIRT",0
"105","EPGLM",0
"106","ESGtoolkit",0
"107","EstHer",0
"108","evolqg",0
"109","EWGoF",0
"110","exif",0
