"pkg","res"
"1","AbsFilterGSEA",0
"2","accelerometry",0
"3","ACEt",0
"4","AdaptiveSparsity",0
"5","ADMMnet",0
"6","AHR",0
"7","algstat",0
"8","AlignStat",0
"9","ALKr",0
"10","Amelia",0
"11","apcluster",0
"12","arrApply",0
"13","ASPBay",0
"14","aSPU",0
"15","autovarCore",0
"16","BaBooN",0
"17","BacArena",0
"18","BalancedSampling",0
"19","BAMMtools",0
"20","batman",0
"21","BayesComm",0
"22","BayesFactor",0
"23","bayesm",0
"24","bayou",0
"25","bcp",0
"26","bcpa",0
"27","beanz",0
"28","BEDMatrix",0
"29","BeviMed",0
"30","bfa",0
"31","bfp",0
"32","bifactorial",0
"33","BIFIEsurvey",0
"34","biganalytics",0
"35","biglasso",0
"36","bigmemory",0
"37","BigQuic",0
"38","bigtabulate",0
"39","BigVAR",0
"40","Biocomb",0
"41","BIPOD",0
"42","biwavelet",0
"43","blackbox",0
"44","blockcluster",0
"45","blockmodels",0
"46","blockseg",0
"47","bnnSurvival",0
"48","bootTimeInference",0
"49","brainGraph",0
"50","btf",0
"51","BTLLasso",0
"52","BTR",0
"53","bvarsv",0
"54","bWGR",0
"55","BWStest",0
"56","CARBayes",0
"57","CARBayesST",0
"58","ccaPP",0
"59","cccp",0
"60","cda",0
"61","CDM",0
"62","CFC",0
"63","cgAUC",0
"64","ChannelAttribution",0
"65","chopthin",0
"66","CIDnetworks",0
"67","cIRT",0
"68","cladoRcpp",0
"69","classify",0
"70","clere",0
"71","climdex.pcic",0
"72","clogitboost",0
"73","clogitL1",0
"74","clusrank",0
"75","ClusterStability",0
"76","clusteval",0
"77","ClustMMDD",0
"78","ClustVarLV",0
"79","CMF",0
"80","coala",0
"81","collUtils",0
"82","CompGLM",0
"83","ConConPiWiFun",0
"84","coneproj",0
"85","contoureR",1
"86","copCAR",0
"87","cord",0
"88","CorReg",0
"89","Countr",0
"90","covafillr",0
"91","Coxnet",0
"92","CoxPlus",0
"93","cpgen",0
"94","crawl",0
"95","creditr",0
"96","Crossover",0
"97","cycleRtools",0
"98","D3M",0
"99","datafsm",1
"100","dbmss",0
"101","dbscan",0
"102","ddalpha",0
"103","ddR",0
"104","DDRTree",0
"105","deepboost",0
"106","Delaporte",0
"107","DeLorean",0
"108","dendextendRcpp",0
"109","densityClust",0
"110","DepthProc",0
"111","DescTools",0
"112","DetMCD",0
"113","DetR",0
"114","dfcomb",0
"115","dfmta",0
"116","DiffusionRgqd",0
"117","DiffusionRimp",0
"118","DiffusionRjgqd",0
"119","dils",0
"120","dina",0
"121","disclapmix",0
"122","diversitree",0
"123","diveRsity",0
"124","divo",0
"125","DLMtool",0
"126","DNAprofiles",0
"127","DNAtools",0
"128","dnc",0
"129","dplyr",0
"130","drgee",0
"131","dslice",0
"132","DStree",0
"133","dtwclust",0
"134","easyVerification",0
"135","EBMAforecast",0
"136","ECctmc",0
"137","ecp",0
"138","EditImputeCont",0
"139","eggCounts",0
"140","eive",0
"141","EloChoice",0
"142","elpatron",1
"143","emil",0
"144","emIRT",0
"145","EPGLM",0
"146","erah",0
"147","ESGtoolkit",0
"148","EstHer",0
"149","evolqg",1
"150","EWGoF",0
"151","exif",0
"152","extraDistr",0
"153","fastAdaboost",0
"154","FastBandChol",0
"155","fastGHQuad",0
"156","FastGP",0
"157","FastHCS",0
"158","fastM",0
"159","FastPCS",0
"160","FastRCS",0
"161","FBFsearch",0
"162","fbroc",0
"163","FCNN4R",0
"164","fdaMixed",0
"165","fdapace",0
"166","fdaPDE",0
"167","fdasrvf",0
"168","FDGcopulas",0
"169","FDRreg",0
"170","feather",0
"171","FeatureHashing",0
"172","FIACH",0
"173","fICA",0
"174","FisHiCal",0
"175","flam",0
"176","flan",0
"177","flars",0
"178","flip",0
"179","FLSSS",0
"180","forecast",0
"181","forega",0
"182","forestFloor",0
"183","fourierin",0
"184","fourPNO",0
"185","fractional",0
"186","frailtySurv",0
"187","FRESA.CAD",0
"188","fromo",0
"189","FSInteract",0
"190","fugeR",0
"191","FunChisq",0
"192","Funclustering",0
"193","futureheatwaves",0
"194","fwsim",0
"195","gapfill",0
"196","gaselect",0
"197","gaston",0
"198","GCPM",0
"199","gdm",0
"200","gdtools",0
"201","geiger",0
"202","GeneticTools",0
"203","genie",0
"204","GENLIB",0
"205","geoCount",0
"206","geohash",0
"207","GERGM",0
"208","ggrepel",0
"209","GiRaF",0
"210","gjam",0
"211","gkmSVM",1
"212","glamlasso",0
"213","glcm",0
"214","glmBfp",0
"215","glmgraph",0
"216","glmmsr",0
"217","GMCM",0
"218","Gmedian",0
"219","Gmisc",0
"220","gmum.r",0
"221","gmwm",0
"222","gMWT",0
"223","googleway",0
"224","GPareto",0
"225","GPvam",0
"226","gRain",0
"227","graphicalVAR",0
"228","gRbase",0
"229","gRim",0
"230","growcurves",0
"231","growfunctions",0
"232","grpSLOPE",0
"233","GSE",0
"234","gsEasy",0
"235","GUILDS",0
"236","GUTS",0
"237","GxM",0
"238","h5",0
"239","hashmap",0
"240","haven",1
"241","hawkes",0
"242","HDPenReg",0
"243","hierarchicalSets",0
"244","hit",0
"245","hkevp",0
"246","HLMdiag",0
"247","HSAR",0
"248","hsphase",0
"249","htmltools",0
"250","hts",0
"251","httpuv",0
"252","HUM",0
"253","humaniformat",0
"254","humarray",0
"255","hunspell",0
"256","hypervolume",0
"257","hyphenatr",0
"258","iBATCGH",0
"259","IBHM",0
"260","ibm",0
"261","icamix",0
"262","iccbeta",0
"263","icd",0
"264","icd9",0
"265","icensmis",0
"266","icRSF",0
"267","iLaplace",0
"268","imager",0
"269","immer",0
"270","imputeMulti",0
"271","inarmix",0
"272","iptools",0
"273","IRTpp",0
"274","IsingSampler",0
"275","isoph",0
"276","ISOpureR",0
"277","iterpc",0
"278","JacobiEigen",0
"279","JAGUAR",0
"280","jiebaR",0
"281","jmcm",0
"282","jmotif",0
"283","jqr",0
"284","jtGWAS",0
"285","kdecopula",0
"286","kergp",1
"287","kernDeepStackNet",0
"288","KernSmoothIRT",0
"289","kmc",0
"290","kmeans.ddR",0
"291","Kmisc",0
"292","LaF",0
"293","LambertW",0
"294","lamW",0
"295","Langevin",0
"296","LassoBacktracking",0
"297","lasvmR",0
"298","lbfgs",0
"299","lcopula",0
"300","lfl",0
"301","lifecontingencies",0
"302","lm.br",0
"303","lme4",0
"304","lpme",0
"305","lsbclust",0
"306","lsgl",0
"307","lucr",0
"308","Luminescence",0
"309","marked",0
"310","markophylo",0
"311","markovchain",0
"312","MAT",0
"313","matchingMarkets",0
"314","matchingR",0
"315","mateable",0
"316","MatrixCorrelation",0
"317","maxent",0
"318","mbbefd",1
"319","mcemGLM",0
"320","mcga",0
"321","mcIRT",0
"322","mcmcse",0
"323","mcPAFit",0
"324","MediaK",0
"325","MESS",0
"326","metafolio",0
"327","mets",0
"328","mev",0
"329","mgm",0
"330","mice",0
"331","minimaxdesign",0
"332","minqa",0
"333","mirt",0
"334","mirtCAT",0
"335","miscF",0
"336","miscset",0
"337","MiSPU",0
"338","missDeaths",0
"339","MixAll",0
"340","MixedDataImpute",0
"341","mixedMem",0
"342","mixpack",0
"343","mkde",0
"344","mlmc",0
"345","mlxR",0
"346","mmand",0
"347","Morpho",0
"348","move",0
"349","moveHMM",0
"350","mp",0
"351","Mposterior",0
"352","MPTinR",0
"353","MRIaggr",0
"354","MRS",0
"355","msgl",0
"356","MTS",0
"357","multicool",0
"358","mvabund",0
"359","MVB",0
"360","mvcluster",0
"361","mvnfast",0
"362","mwaved",0
"363","myTAI",0
"364","nabor",0
"365","NAM",0
"366","ndl",0
"367","netcoh",0
"368","netdiffuseR",0
"369","NetSim",0
"370","neuroim",0
"371","ngspatial",0
"372","NHMM",0
"373","nmfgpu4R",0
"374","NNLM",0
"375","noncompliance",0
"376","nonlinearTseries",0
"377","NPBayesImpute",0
"378","NPflow",0
"379","oapackage",0
"380","odeintr",0
"381","oem",0
"382","OjaNP",0
"383","olctools",0
"384","OneArmPhaseTwoStudy",0
"385","onlinePCA",0
"386","ontologySimilarity",0
"387","openair",0
"388","OpenMx",0
"389","openxlsx",0
"390","optmatch",0
"391","orQA",0
"392","PAC",0
"393","packcircles",0
"394","PACVB",0
"395","PAFit",0
"396","pander",0
"397","PanelCount",0
"398","partialAR",0
"399","pcalg",0
"400","pcIRT",0
"401","pdftools",0
"402","PedCNV",0
"403","pedometrics",0
"404","PenCoxFrail",0
"405","penMSM",0
"406","perccal",0
"407","PerMallows",0
"408","ph2bayes",0
"409","phonics",0
"410","phylobase",0
"411","phylocurve",0
"412","phylosignal",0
"413","Pijavski",0
"414","plac",0
"415","planar",0
"416","plotSEMM",0
"417","plyr",0
"418","poisDoubleSamp",0
"419","polyfreqs",0
"420","polywog",0
"421","PoweR",0
"422","PP",0
"423","PPtreeViz",0
"424","prclust",0
"425","precrec",0
"426","PReMiuM",0
"427","primes",0
"428","ProbitSpatial",0
"429","pROC",0
"430","prodlim",0
"431","ProNet",0
"432","propagate",0
"433","prospectr",0
"434","protolite",0
"435","prototest",0
"436","protViz",0
"437","pryr",0
"438","psd",0
"439","psgp",0
"440","purrr",0
"441","pvar",0
"442","PWD",0
