"pkg","res"
"176","RcppGSL",0
"177","RcppMLPACK",0
"178","RcppOctave",0
"179","RcppProgress",0
"180","RcppRedis",0
"181","RcppRoll",0
"182","RcppSMC",0
"183","RcppXts",0
"184","RcppZiggurat",0
"185","remote",0
"186","ReorderCluster",0
"187","resemble",0
"188","reshape2",0
"189","revealedPrefs",0
"190","rexpokit",0
"191","rforensicbatwing",0
"192","rgam",0
"193","RInside",0
"194","ripa",0
"195","rkvo",0
"196","rlme",0
"197","RLRsim",0
"198","Rmalschains",0
"199","rmgarch",0
"200","Rmixmod",0
"201","RmixmodCombi",0
"202","robustgam",0
"203","robustHD",0
"204","rococo",0
"205","rotations",0
"206","roxygen2",0
"207","rpf",1
"208","rpg",0
"209","rplexos",0
"210","rPref",0
"211","RProtoBuf",0
"212","RQuantLib",0
"213","RSNNS",0
"214","RSNPset",0
"215","RSofia",0
"216","Rsomoclu",0
"217","Rtsne",0
"218","Ruchardet",0
"219","rugarch",0
"220","Rvcg",0
"221","RVowpalWabbit",0
"222","SBSA",0
"223","scrypt",0
"224","sdcMicro",0
"225","sdcTable",0
"226","SelvarMix",0
"227","sequences",0
"228","sglOptim",0
"229","simFrame",0
"230","sirt",0
"231","slfm",0
"232","snplist",0
"233","SocialNetworks",0
"234","SOD",0
"235","spacodiR",0
"236","spaMM",0
"237","sparseHessianFD",0
"238","sparseLTSEigen",0
"239","SpatialEpi",0
"240","SpatialTools",0
"241","spBayesSurv",0
"242","StereoMorph",0
"243","stochvol",0
"244","stosim",0
"245","strum",0
"246","survAccuracyMeasures",0
"247","surveillance",1
"248","survSNP",0
"249","synlik",0
"250","TAM",0
"251","TAQMNGR",0
"252","tbart",1
"253","TED",0
"254","termstrc",0
"255","TFMPvalue",0
"256","treeclim",0
"257","trustOptim",0
"258","tvd",0
"259","unmarked",0
"260","VideoComparison",0
"261","VIM",0
"262","waffect",0
"263","wordcloud",0
"264","wsrf",1
"265","XBRL",0
"266","zic",0
