"pkg","res"
"1","accelerometry",0
"2","AdaptiveSparsity",0
"3","AHR",0
"4","algstat",0
"5","ALKr",0
"6","Amelia",0
"7","apcluster",0
"8","ASPBay",0
"9","autovarCore",0
"10","BaBooN",0
"11","BalancedSampling",0
"12","batman",0
"13","BayesComm",0
"14","BayesFactor",0
"15","bayesm",0
"16","bayou",0
"17","bcp",0
"18","bcpa",0
"19","BEDMatrix",0
"20","bfa",0
"21","bfp",0
"22","bifactorial",0
"23","BIFIEsurvey",0
"24","bigmemory",0
"25","bigtabulate",0
"26","Biocomb",0
"27","BIPOD",0
"28","blockcluster",0
"29","blockmodels",0
"30","btf",0
"31","BTLLasso",0
"32","bvarsv",0
"33","bWGR",0
"34","CARBayes",0
"35","CARBayesST",0
"36","ccaPP",0
"37","cccp",0
"38","cda",0
"39","CDM",0
"40","cgAUC",0
"41","ChannelAttribution",0
"42","chopthin",0
"43","CIDnetworks",0
"44","cladoRcpp",0
"45","classify",0
"46","clere",0
"47","climdex.pcic",0
"48","clogitboost",0
"49","clogitL1",0
"50","ClusterStability",0
"51","clusteval",0
"52","ClustMMDD",0
"53","ClustVarLV",0
"54","CMF",0
"55","coala",0
"56","CompGLM",0
"57","ConConPiWiFun",0
"58","coneproj",0
"59","contoureR",0
"60","copCAR",0
"61","cord",0
"62","CorReg",0
"63","Coxnet",0
"64","CoxPlus",0
"65","cpgen",0
"66","creditr",0
"67","Crossover",0
"68","cycleRtools",0
"69","D3M",0
"70","datafsm",0
"71","dbmss",0
"72","dbscan",0
"73","ddalpha",0
"74","ddR",0
"75","Delaporte",0
"76","dendextendRcpp",0
"77","DepthProc",0
"78","DescTools",0
"79","DetMCD",0
"80","dfcomb",0
"81","dfmta",0
"82","DiffusionRgqd",0
"83","dils",0
"84","dina",0
"85","disclapmix",0
"86","diversitree",0
"87","diveRsity",0
"88","divo",0
"89","DNAprofiles",0
"90","DNAtools",0
"91","dplyr",0
"92","dslice",0
"93","DStree",0
"94","ecp",0
"95","EditImputeCont",0
"96","eemR",0
"97","eive",0
"98","EloChoice",0
"99","emil",0
"100","emIRT",0
"101","EPGLM",0
"102","ESGtoolkit",0
"103","EstHer",0
"104","evolqg",0
"105","EWGoF",0
"106","FastBandChol",0
"107","fastGHQuad",0
"108","FastGP",0
"109","FastHCS",0
